id,year,month,female_jugan,female_yagan,male_jugan,male_yagan
1,2017,1,96986,96748,111614,108831
2,2017,2,99778,98556,113635,110677
3,2017,3,109901,107248,124756,120503
4,2017,4,110960,109273,126391,123234
5,2017,5,113804,112154,129307,125980
6,2017,6,115088,113358,129747,126527
7,2017,7,111539,111152,124351,122458
8,2017,8,113284,112951,124522,122844
9,2017,9,123560,119872,139856,132939
10,2017,10,127625,123659,146115,138475
11,2017,11,129499,126325,149410,143173
12,2017,12,128597,126067,148302,142336
13,2018,1,124422,122583,141341,136451
14,2018,2,125417,123300,140898,136052
15,2018,3,136768,133391,154886,150201
16,2018,4,138819,134901,157776,152040
17,2018,5,140303,136139,159898,153724
18,2018,6,140135,136579,159844,154237
19,2018,7,135283,133111,153297,148544
20,2018,8,137226,134274,154167,149851
21,2018,9,141736,138558,162476,156285
