year,month,sido+sgg,nolive_yeswork_in_cnt
2018,09,3611110,1056
2018,09,3611140,32
2018,09,3611170,1405
2018,09,3611200,1122
2018,09,3611215,468
2018,09,3611230,607
2018,09,3611260,96
2018,09,3611290,1302
2018,09,3611305,48
2018,09,3611320,661
2018,09,3611350,2108
2018,09,3611380,1795
2018,09,3611410,2113
2018,09,3611440,1482
2018,09,3611470,2765
2018,09,3611500,1915
2018,09,3611530,589
2018,09,3611560,1448
2018,09,3611590,2469
2018,09,3611620,1838
2018,09,3611650,3611
2018,09,3611680,5273
2018,09,3611710,3743
2018,09,3611740,1464
2018,09,3626260,28
2018,09,3626350,12
2018,09,3627140,20
2018,09,3627260,831
2018,09,3627290,259
2018,09,3628185,117
2018,09,3628200,414
2018,09,3628237,433
2018,09,3628260,127
2018,09,3629140,163
2018,09,3629155,83
2018,09,3629170,36
2018,09,3629200,4
2018,09,3630110,27326
2018,09,3630140,31000
2018,09,3630170,95886
2018,09,3630200,128885
2018,09,3630230,38152
2018,09,3641111,781
2018,09,3641113,1239
2018,09,3641115,616
2018,09,3641117,1608
2018,09,3641131,423
2018,09,3641133,4
2018,09,3641135,4496
2018,09,3641150,40
2018,09,3641171,1320
2018,09,3641173,2790
2018,09,3641190,932
2018,09,3641210,531
2018,09,3641220,2336
2018,09,3641271,1027
2018,09,3641281,274
2018,09,3641285,430
2018,09,3641287,304
2018,09,3641290,687
2018,09,3641310,36
2018,09,3641360,943
2018,09,3641370,840
2018,09,3641390,75
2018,09,3641410,1826
2018,09,3641430,1040
2018,09,3641450,94
2018,09,3641461,224
2018,09,3641463,1638
2018,09,3641465,1792
2018,09,3641480,12
2018,09,3641500,8
2018,09,3641570,267
2018,09,3641590,2941
2018,09,3641610,540
2018,09,3642130,116
2018,09,3643111,16239
2018,09,3643112,41869
2018,09,3643113,74906
2018,09,3643114,15176
2018,09,3643130,463
2018,09,3643720,94
2018,09,3643730,1497
2018,09,3643740,13
2018,09,3643745,124
2018,09,3643750,292
2018,09,3643760,103
2018,09,3643770,603
2018,09,3644131,37863
2018,09,3644133,15567
2018,09,3644150,51024
2018,09,3644200,8441
2018,09,3644230,3588
2018,09,3644250,9050
2018,09,3644270,4
2018,09,3644710,1082
2018,09,3644760,75
2018,09,3644800,245
2018,09,3644810,32
2018,09,3645111,795
2018,09,3645113,2125
2018,09,3645130,552
2018,09,3645140,1185
2018,09,3645180,12
